"ind","block","trial","s","d","r_time"
1,1,1,2,1,1.1034389801207
1,1,2,1,1,0.976057308900636
1,1,3,4,2,0.812490827403963
1,1,4,1,3,1.26403430599021
1,1,5,2,2,1.51936998503515
1,1,6,4,4,0.990497775492258
1,1,7,2,3,0.978116762824357
1,1,8,4,1,1.84573116601678
1,1,9,4,2,1.72792663966538
1,1,10,4,3,1.13210746791447
1,1,11,2,4,0.968945008818991
1,1,12,4,2,0.893633995379787
1,1,13,2,1,3.1988809844479
1,1,14,2,3,1.088373835315
1,1,15,1,2,0.83859697135631
1,1,16,2,2,0.78447541227797
1,1,17,1,1,1.71587780804839
1,1,18,1,3,0.995035758183803
1,1,19,1,3,1.27847750933142
1,1,20,3,2,1.0066778305918
1,1,21,3,4,0.847635647689458
1,1,22,1,1,1.4748543073074
1,1,23,1,3,1.35350047290558
1,1,24,2,2,1.46111891290639
1,1,25,3,3,1.00536415900569
1,1,26,2,4,0.903006563254166
1,1,27,2,3,1.14202158321859
1,1,28,3,2,0.938758614531253
1,1,29,4,2,0.904343839851208
1,1,30,1,1,0.952449877804611
1,1,31,3,3,1.111438692722
1,1,32,4,4,1.39905340381665
1,1,33,4,4,2.81003932462772
1,1,34,1,1,1.81809206301114
1,1,35,3,2,0.629782029776834
1,1,36,3,3,0.649744022171944
1,1,37,4,4,3.34051565034315
1,1,38,3,1,1.19325717003085
1,1,39,3,2,1.17384185653646
1,1,40,3,3,0.668286633561365
1,2,41,1,1,2.8883919667569
1,2,42,3,2,1.14308380981674
1,2,43,2,2,1.05385232483968
1,2,44,2,2,0.943140940915328
1,2,45,1,1,2.22148195159389
1,2,46,4,3,1.75135891459649
1,2,47,4,4,0.838248027372174
1,2,48,4,4,3.00919878005516
1,2,49,2,1,1.40262358007021
1,2,50,4,4,1.52569408214185
1,2,51,4,3,1.38918855122756
1,2,52,4,1,0.984831540437881
1,2,53,2,2,1.70308182568988
1,2,54,1,2,2.45458579144906
1,2,55,1,1,1.07984112785198
1,2,56,3,2,2.49912678473629
1,2,57,3,3,2.99948479438899
1,2,58,4,1,2.63334023242351
1,2,59,3,2,1.27466136182193
1,2,60,2,4,2.10734133736696
1,2,61,4,1,3.72268529527355
1,2,62,4,1,1.75218166987179
1,2,63,1,1,1.1985597506864
1,2,64,3,3,1.07580261398107
1,2,65,2,2,2.57335401908495
1,2,66,1,4,1.27421047142707
1,2,67,2,3,2.69192245916929
1,2,68,3,2,3.49067583953729
1,2,69,2,3,1.81741196435178
1,2,70,3,3,1.07638829259668
1,2,71,1,1,1.23802839784184
1,2,72,2,1,1.12113728380064
1,2,73,1,4,0.881465085898526
1,2,74,4,2,0.864995954674669
1,2,75,3,2,1.01947312877746
1,2,76,1,4,3.02992639678996
1,2,77,2,2,1.3420441619237
1,2,78,1,3,1.02100061404053
1,2,79,3,3,1.23278465878684
1,2,80,3,3,0.931817365461029
1,3,81,4,1,1.94110611832002
1,3,82,2,4,1.0488678990514
1,3,83,1,4,1.26705404010136
1,3,84,2,2,1.19529986096313
1,3,85,4,3,1.9491636462044
1,3,86,1,4,3.28106687922264
1,3,87,1,2,2.80514418747043
1,3,88,4,3,0.727437775931321
1,3,89,2,1,1.21593887318159
1,3,90,3,1,1.11498697445495
1,3,91,1,3,2.65011725545628
1,3,92,3,2,0.943721487943549
1,3,93,3,3,0.603430256538559
1,3,94,2,2,1.33682950149523
1,3,95,2,2,0.951337362173945
1,3,96,3,4,1.3183652315056
1,3,97,1,1,3.12309308082331
1,3,98,4,3,2.62302072625607
1,3,99,1,1,1.79124150518328
1,3,100,2,3,6.02616464340826
1,3,101,3,3,0.974562665389385
1,3,102,2,2,1.38706717686728
1,3,103,3,4,3.65410890133353
1,3,104,3,2,1.41060516133439
1,3,105,2,2,1.1100124696386
1,3,106,3,3,1.08494836831233
1,3,107,4,1,1.08316122752149
1,3,108,1,2,2.37806442123838
1,3,109,4,2,1.14201645168941
1,3,110,4,4,1.44468501815572
1,3,111,3,3,1.18047316127922
1,3,112,4,4,2.72782914055279
1,3,113,1,1,2.44451909867348
1,3,114,4,2,2.65264744166052
1,3,115,4,4,3.81148504756857
1,3,116,1,1,3.53843259136193
1,3,117,3,2,3.32103225850733
1,3,118,1,1,1.69197240605718
1,3,119,2,3,1.95391886366997
1,3,120,2,3,0.774869530869182
1,4,121,4,2,1.32360452332068
1,4,122,1,3,0.822031367337331
1,4,123,2,2,4.26501682284288
1,4,124,3,3,2.84129136655247
1,4,125,4,1,2.39310459257104
1,4,126,2,1,4.99737094633747
1,4,127,3,4,2.68596338486532
1,4,128,4,2,1.28639067022596
1,4,129,1,1,1.65406305965735
1,4,130,3,3,2.04930544743547
1,4,131,1,4,1.2904948676005
1,4,132,3,3,2.15395067917416
1,4,133,1,2,1.5188975421479
1,4,134,1,1,1.25458442303352
1,4,135,2,1,1.64897942426614
1,4,136,2,3,0.829177877632901
1,4,137,1,2,0.665021270222496
1,4,138,4,4,0.554069388541393
1,4,139,1,3,0.896917832258623
1,4,140,3,2,0.60884470451856
1,4,141,4,1,0.645738350169268
1,4,142,2,3,3.21667644503759
1,4,143,4,2,1.28060504153837
1,4,144,1,2,4.03843105188571
1,4,145,2,2,1.19200610305415
1,4,146,1,4,1.83490363846067
1,4,147,1,1,8.50800809409702
1,4,148,2,3,1.40452429867582
1,4,149,4,1,1.13293022313155
1,4,150,2,2,0.884981552197132
1,4,151,4,1,2.67735712538706
1,4,152,2,2,1.3830317419488
1,4,153,2,2,0.955635189253371
1,4,154,3,3,1.74530542007415
1,4,155,3,2,1.00579418113921
1,4,156,3,4,0.930023724737111
1,4,157,3,1,0.465442055603489
1,4,158,4,2,2.84343121445272
1,4,159,3,3,2.57266639417503
1,4,160,4,2,0.832542450574692
1,5,161,4,2,1.70093821466435
1,5,162,1,1,1.47433841752354
1,5,163,1,4,1.6484365084325
1,5,164,1,4,1.217251176422
1,5,165,2,3,1.3778071605484
1,5,166,1,2,2.1707841490279
1,5,167,3,3,2.69213319401024
1,5,168,1,1,0.943214834900573
1,5,169,1,1,1.61235535505693
1,5,170,3,2,2.06991503894096
1,5,171,4,4,1.82633227336919
1,5,172,4,1,0.898664604930673
1,5,173,4,1,1.00809755380033
1,5,174,1,3,0.90605640236754
1,5,175,2,2,1.45361730078002
1,5,176,3,3,2.07581869279966
1,5,177,3,2,0.814273520780262
1,5,178,4,2,0.759162602771539
1,5,179,2,1,1.38627110555535
1,5,180,2,1,0.997358972730581
1,5,181,4,4,2.11728829448111
1,5,182,3,4,3.43430701259058
1,5,183,3,3,1.29656204616185
1,5,184,2,1,3.02011251734802
1,5,185,2,2,1.92365310178138
1,5,186,4,4,2.03836947359378
1,5,187,4,4,4.09411601704778
1,5,188,4,4,1.09471537970239
1,5,189,1,3,0.736506557266694
1,5,190,3,4,0.773420044744853
1,5,191,3,4,0.829183351248503
1,5,192,3,2,2.34789992147125
1,5,193,4,1,1.66077065310674
1,5,194,1,3,1.17004897189327
1,5,195,3,3,2.22061951248907
1,5,196,2,4,4.83496316417586
1,5,197,2,1,1.52682986069703
1,5,198,2,3,2.56022996094543
1,5,199,1,1,1.13829164538765
1,5,200,2,2,4.29891981300898
1,6,1,1,1,2.52679941360839
1,6,2,3,3,1.51487750187516
1,6,3,3,2,0.774602007120848
1,6,4,2,2,1.19695289770607
1,6,5,4,4,0.960667851497419
1,6,6,4,4,1.30898684787098
1,6,7,1,1,1.379520749324
1,6,8,2,3,1.54267568222713
1,6,9,4,1,1.43447874777485
1,6,10,2,2,1.30189781065565
1,6,11,1,1,2.65505686588585
1,6,12,1,1,0.956179473549128
1,6,13,4,4,1.21693438990042
1,6,14,1,3,2.25734450179152
1,6,15,2,3,0.689478482701816
1,6,16,3,2,1.450970799895
1,6,17,3,3,1.12197782832664
1,6,18,1,4,1.72027142369188
1,6,19,3,3,1.73922353121452
